"Timestamp","Name","Sensor value"
"09/19/2019 - 17:36","Volumetric Water Content (%)","0"
"09/19/2019 - 17:36","Soil Temp (C)","28.56"
"09/19/2019 - 17:36","Soil Permittivity","1.2"
"09/19/2019 - 17:36","Soil Bulk EC (uS/cm)","0"
"09/19/2019 - 17:36","Soil Pore Water EC (uS/cm)","0"
"09/19/2019 - 17:36","Battery Voltage (V)","6.64"
"09/19/2019 - 17:42","Volumetric Water Content (%)","0"
"09/19/2019 - 17:42","Soil Temp (C)","28.45"
"09/19/2019 - 17:42","Soil Permittivity","1.2"
"09/19/2019 - 17:42","Soil Bulk EC (uS/cm)","0"
"09/19/2019 - 17:42","Soil Pore Water EC (uS/cm)","0"
"09/19/2019 - 17:42","Battery Voltage (V)","6.66"
"09/19/2019 - 17:48","Volumetric Water Content (%)","0"
"09/19/2019 - 17:48","Soil Temp (C)","28.45"
"09/19/2019 - 17:48","Soil Permittivity","1.2"
"09/19/2019 - 17:48","Soil Bulk EC (uS/cm)","0"
"09/19/2019 - 17:48","Soil Pore Water EC (uS/cm)","0"
"09/19/2019 - 17:48","Battery Voltage (V)","6.64"
"09/19/2019 - 17:54","Volumetric Water Content (%)","0"
"09/19/2019 - 17:54","Soil Temp (C)","28.56"
"09/19/2019 - 17:54","Soil Permittivity","1.2"
"09/19/2019 - 17:54","Soil Bulk EC (uS/cm)","0"
"09/19/2019 - 17:54","Soil Pore Water EC (uS/cm)","0"
"09/19/2019 - 17:54","Battery Voltage (V)","6.63"
"09/19/2019 - 18:03","Volumetric Water Content (%)","0"
"09/19/2019 - 18:03","Soil Temp (C)","28.56"
"09/19/2019 - 18:03","Soil Permittivity","1.2"
"09/19/2019 - 18:03","Soil Bulk EC (uS/cm)","0"
"09/19/2019 - 18:03","Soil Pore Water EC (uS/cm)","0"
"09/19/2019 - 18:03","Battery Voltage (V)","6.64"
"09/19/2019 - 18:39","Volumetric Water Content (%)","115.45"
"09/19/2019 - 18:39","Soil Temp (C)","24.35"
"09/19/2019 - 18:39","Soil Permittivity","90.82"
"09/19/2019 - 18:39","Soil Bulk EC (uS/cm)","251.95"
"09/19/2019 - 18:39","Soil Pore Water EC (uS/cm)","265.14"
"09/19/2019 - 18:39","Battery Voltage (V)","6.63"
"09/19/2019 - 19:16","Volumetric Water Content (%)","115.45"
"09/19/2019 - 19:16","Soil Temp (C)","24.49"
"09/19/2019 - 19:16","Soil Permittivity","90.82"
"09/19/2019 - 19:16","Soil Bulk EC (uS/cm)","251.95"
"09/19/2019 - 19:16","Soil Pore Water EC (uS/cm)","265.14"
"09/19/2019 - 19:16","Battery Voltage (V)","6.63"
"09/19/2019 - 19:52","Volumetric Water Content (%)","115.45"
"09/19/2019 - 19:52","Soil Temp (C)","24.6"
"09/19/2019 - 19:52","Soil Permittivity","90.82"
"09/19/2019 - 19:52","Soil Bulk EC (uS/cm)","251.95"
"09/19/2019 - 19:52","Soil Pore Water EC (uS/cm)","265.14"
"09/19/2019 - 19:52","Battery Voltage (V)","6.63"
"09/19/2019 - 20:29","Volumetric Water Content (%)","9.96"
"09/19/2019 - 20:29","Soil Temp (C)","25.79"
"09/19/2019 - 20:29","Soil Permittivity","6.12"
"09/19/2019 - 20:29","Soil Bulk EC (uS/cm)","62.39"
"09/19/2019 - 20:29","Soil Pore Water EC (uS/cm)","2179.69"
"09/19/2019 - 20:29","Battery Voltage (V)","6.61"
"09/19/2019 - 21:05","Volumetric Water Content (%)","10.08"
"09/19/2019 - 21:05","Soil Temp (C)","24.97"
"09/19/2019 - 21:05","Soil Permittivity","6.24"
"09/19/2019 - 21:05","Soil Bulk EC (uS/cm)","62.39"
"09/19/2019 - 21:05","Soil Pore Water EC (uS/cm)","2189.94"
"09/19/2019 - 21:05","Battery Voltage (V)","6.63"
"09/19/2019 - 21:32","Volumetric Water Content (%)","10.08"
"09/19/2019 - 21:32","Soil Temp (C)","24.49"
"09/19/2019 - 21:32","Soil Permittivity","6.24"
"09/19/2019 - 21:32","Soil Bulk EC (uS/cm)","62.39"
"09/19/2019 - 21:32","Soil Pore Water EC (uS/cm)","2189.94"
"09/19/2019 - 21:32","Battery Voltage (V)","6.61"
"09/19/2019 - 21:38","Volumetric Water Content (%)","10.08"
"09/19/2019 - 21:38","Soil Temp (C)","24.35"
"09/19/2019 - 21:38","Soil Permittivity","6.24"
"09/19/2019 - 21:38","Soil Bulk EC (uS/cm)","60.01"
"09/19/2019 - 21:38","Soil Pore Water EC (uS/cm)","2106.45"
"09/19/2019 - 21:38","Battery Voltage (V)","6.63"
"09/19/2019 - 21:45","Volumetric Water Content (%)","34.31"
"09/19/2019 - 21:45","Soil Temp (C)","24.01"
"09/19/2019 - 21:45","Soil Permittivity","18.84"
"09/19/2019 - 21:45","Soil Bulk EC (uS/cm)","535.03"
"09/19/2019 - 21:45","Soil Pore Water EC (uS/cm)","3665.04"
"09/19/2019 - 21:45","Battery Voltage (V)","6.63"
"09/19/2019 - 21:51","Volumetric Water Content (%)","34.45"
"09/19/2019 - 21:51","Soil Temp (C)","23.64"
"09/19/2019 - 21:51","Soil Permittivity","18.84"
"09/19/2019 - 21:51","Soil Bulk EC (uS/cm)","532.84"
"09/19/2019 - 21:51","Soil Pore Water EC (uS/cm)","3629.88"
"09/19/2019 - 21:51","Battery Voltage (V)","6.61"
"09/19/2019 - 21:57","Volumetric Water Content (%)","34.68"
"09/19/2019 - 21:57","Soil Temp (C)","23.64"
"09/19/2019 - 21:57","Soil Permittivity","19.08"
"09/19/2019 - 21:57","Soil Bulk EC (uS/cm)","532.84"
"09/19/2019 - 21:57","Soil Pore Water EC (uS/cm)","3591.8"
"09/19/2019 - 21:57","Battery Voltage (V)","6.63"
"09/19/2019 - 22:03","Volumetric Water Content (%)","34.45"
"09/19/2019 - 22:03","Soil Temp (C)","23.64"
"09/19/2019 - 22:03","Soil Permittivity","18.84"
"09/19/2019 - 22:03","Soil Bulk EC (uS/cm)","525.51"
"09/19/2019 - 22:03","Soil Pore Water EC (uS/cm)","3580.08"
"09/19/2019 - 22:03","Battery Voltage (V)","6.63"
"09/19/2019 - 22:09","Volumetric Water Content (%)","34.31"
"09/19/2019 - 22:09","Soil Temp (C)","23.64"
"09/19/2019 - 22:09","Soil Permittivity","18.84"
"09/19/2019 - 22:09","Soil Bulk EC (uS/cm)","520.75"
"09/19/2019 - 22:09","Soil Pore Water EC (uS/cm)","3565.43"
"09/19/2019 - 22:09","Battery Voltage (V)","6.63"
"09/19/2019 - 22:16","Volumetric Water Content (%)","34.08"
"09/19/2019 - 22:16","Soil Temp (C)","23.53"
"09/19/2019 - 22:16","Soil Permittivity","18.72"
"09/19/2019 - 22:16","Soil Bulk EC (uS/cm)","520.75"
"09/19/2019 - 22:16","Soil Pore Water EC (uS/cm)","3603.52"
"09/19/2019 - 22:16","Battery Voltage (V)","6.63"
"09/19/2019 - 22:22","Volumetric Water Content (%)","34.08"
"09/19/2019 - 22:22","Soil Temp (C)","23.53"
"09/19/2019 - 22:22","Soil Permittivity","18.6"
"09/19/2019 - 22:22","Soil Bulk EC (uS/cm)","513.43"
"09/19/2019 - 22:22","Soil Pore Water EC (uS/cm)","3571.29"
"09/19/2019 - 22:22","Battery Voltage (V)","6.63"
"09/19/2019 - 22:28","Volumetric Water Content (%)","33.71"
"09/19/2019 - 22:28","Soil Temp (C)","23.4"
"09/19/2019 - 22:28","Soil Permittivity","18.36"
"09/19/2019 - 22:28","Soil Bulk EC (uS/cm)","511.23"
"09/19/2019 - 22:28","Soil Pore Water EC (uS/cm)","3609.38"
"09/19/2019 - 22:28","Battery Voltage (V)","6.63"
"09/19/2019 - 22:34","Volumetric Water Content (%)","33.6"
"09/19/2019 - 22:34","Soil Temp (C)","23.28"
"09/19/2019 - 22:34","Soil Permittivity","18.36"
"09/19/2019 - 22:34","Soil Bulk EC (uS/cm)","508.67"
"09/19/2019 - 22:34","Soil Pore Water EC (uS/cm)","3612.3"
"09/19/2019 - 22:34","Battery Voltage (V)","6.63"
"09/19/2019 - 22:40","Volumetric Water Content (%)","33.23"
"09/19/2019 - 22:40","Soil Temp (C)","23.16"
"09/19/2019 - 22:40","Soil Permittivity","18.12"
"09/19/2019 - 22:40","Soil Bulk EC (uS/cm)","507.57"
"09/19/2019 - 22:40","Soil Pore Water EC (uS/cm)","3659.18"
"09/19/2019 - 22:40","Battery Voltage (V)","6.61"
"09/19/2019 - 22:47","Volumetric Water Content (%)","33.23"
"09/19/2019 - 22:47","Soil Temp (C)","23.16"
"09/19/2019 - 22:47","Soil Permittivity","18.12"
"09/19/2019 - 22:47","Soil Bulk EC (uS/cm)","507.57"
"09/19/2019 - 22:47","Soil Pore Water EC (uS/cm)","3659.18"
"09/19/2019 - 22:47","Battery Voltage (V)","6.61"
"09/19/2019 - 22:53","Volumetric Water Content (%)","33.23"
"09/19/2019 - 22:53","Soil Temp (C)","23.16"
"09/19/2019 - 22:53","Soil Permittivity","18.12"
"09/19/2019 - 22:53","Soil Bulk EC (uS/cm)","505.37"
"09/19/2019 - 22:53","Soil Pore Water EC (uS/cm)","3644.53"
"09/19/2019 - 22:53","Battery Voltage (V)","6.61"
"09/19/2019 - 22:59","Volumetric Water Content (%)","43.33"
"09/19/2019 - 22:59","Soil Temp (C)","23.04"
"09/19/2019 - 22:59","Soil Permittivity","25.57"
"09/19/2019 - 22:59","Soil Bulk EC (uS/cm)","700.93"
"09/19/2019 - 22:59","Soil Pore Water EC (uS/cm)","3231.45"
"09/19/2019 - 22:59","Battery Voltage (V)","6.59"
"09/19/2019 - 23:05","Volumetric Water Content (%)","47.65"
"09/19/2019 - 23:05","Soil Temp (C)","22.8"
"09/19/2019 - 23:05","Soil Permittivity","29.64"
